Id,"Book Name","Book Price","Created At","Updated At"
1,PHP,400,,
2,"Prof. Casey Mitchell DDS",310,"2021-04-06 06:37:20","2021-04-06 06:37:20"
3,"Makenzie Kunze",647,"2021-04-06 06:37:20","2021-04-06 06:37:20"
4,"Mozelle Murphy",630,"2021-04-06 06:37:20","2021-04-06 06:37:20"
5,"Dorcas Nikolaus IV",784,"2021-04-06 06:37:20","2021-04-06 06:37:20"
6,"Winston Conn",472,"2021-04-06 06:37:20","2021-04-06 06:37:20"
7,"Dr. Isai Lemke",546,"2021-04-06 06:37:20","2021-04-06 06:37:20"
8,"Devan O'Hara",705,"2021-04-06 06:37:20","2021-04-06 06:37:20"
9,"Leda Reichel",830,"2021-04-06 06:37:20","2021-04-06 06:37:20"
10,"Shana Gottlieb",382,"2021-04-06 06:37:20","2021-04-06 06:37:20"
11,"Prof. Libbie Lueilwitz MD",392,"2021-04-06 06:37:20","2021-04-06 06:37:20"
12,"Sandrine McClure",105,"2021-04-06 06:37:20","2021-04-06 06:37:20"
13,"Ernestina Runolfsson",727,"2021-04-06 06:37:20","2021-04-06 06:37:20"
14,"Jewel Nikolaus",268,"2021-04-06 06:37:20","2021-04-06 06:37:20"
15,"Prof. Reanna O'Reilly I",900,"2021-04-06 06:37:20","2021-04-06 06:37:20"
16,"Norma West",563,"2021-04-06 06:37:20","2021-04-06 06:37:20"
17,"Remington Waters",406,"2021-04-06 06:37:20","2021-04-06 06:37:20"
18,"Prof. Uriel Reichert",477,"2021-04-06 06:37:20","2021-04-06 06:37:20"
19,"Vallie Ledner Sr.",776,"2021-04-06 06:37:20","2021-04-06 06:37:20"
20,"Penelope Homenick",440,"2021-04-06 06:37:20","2021-04-06 06:37:20"
21,"Kailyn Paucek",853,"2021-04-06 06:37:20","2021-04-06 06:37:20"
22,"Florine Hodkiewicz",117,"2021-04-06 06:37:20","2021-04-06 06:37:20"
23,"Prof. Braxton Beier III",122,"2021-04-06 06:37:20","2021-04-06 06:37:20"
24,"Dr. Kale Kulas DVM",645,"2021-04-06 06:37:20","2021-04-06 06:37:20"
25,"Vella Hegmann II",596,"2021-04-06 06:37:20","2021-04-06 06:37:20"
26,"Mr. Tommie Schumm PhD",863,"2021-04-06 06:37:20","2021-04-06 06:37:20"
27,"Verdie Harber PhD",452,"2021-04-06 06:37:20","2021-04-06 06:37:20"
28,"Lilliana Adams",347,"2021-04-06 06:37:20","2021-04-06 06:37:20"
29,"Boyd Kautzer PhD",542,"2021-04-06 06:37:20","2021-04-06 06:37:20"
